"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
[Gen 473] best=0.8320  mean=0.6310
[Gen 474] best=0.8320  mean=0.6148
[Gen 475] best=0.8320  mean=0.6137
[Gen 476] best=0.8320  mean=0.6377
[Gen 477] best=0.8320  mean=0.6452
[Gen 478] best=0.8320  mean=0.6235
[Gen 479] best=0.8320  mean=0.6428
[Gen 480] best=0.8320  mean=0.6805
[Gen 481] best=0.8320  mean=0.6133
[Gen 482] best=0.8320  mean=0.6702
[Gen 483] best=0.8320  mean=0.6564
[Gen 484] best=0.8320  mean=0.6388
[Gen 485] best=0.8320  mean=0.6557
[Gen 486] best=0.8320  mean=0.6636
[Gen 487] best=0.8320  mean=0.6256
[Gen 488] best=0.8320  mean=0.6553
[Gen 489] best=0.8320  mean=0.6562
[Gen 490] best=0.8320  mean=0.6024
[Gen 491] best=0.8320  mean=0.6443
[Gen 492] best=0.8320  mean=0.6447
[Gen 493] best=0.8320  mean=0.6695
[Gen 494] best=0.8320  mean=0.6292
[Gen 495] best=0.8320  mean=0.6409
[Gen 496] best=0.8320  mean=0.6208
[Gen 497] best=0.8320  mean=0.5992
[Gen 498] best=0.8320  mean=0.6580
[Gen 499] best=0.8320  mean=0.6350
[Gen 500] best=0.8320  mean=0.6636

=== Top 5 RECIPE ===
Rank     : 1
Name     : cookie_452070
ID       : child_560057122
Category : cookie
Fitness  : 0.832
Ingredients (g):
  - baking_soda          : 10.1 g
  - butter_unsalted      : 202.4 g
  - buttermilk           : 24.2 g
  - egg_whole            : 91.9 g
  - flour_ap             : 238.5 g
  - jam_raspberry        : 17.9 g
  - nuts_pecan           : 7.8 g
  - pear_grated          : 28.2 g
  - raisins              : 5.8 g
  - salt_fine            : 5.3 g
  - sugar_brown          : 183.9 g
  - sugar_white          : 79.1 g
Rank     : 2
Name     : cookie_625090
ID       : child_148758360
Category : cookie
Fitness  : 0.7896
Ingredients (g):
  - butter_unsalted      : 220.1 g
  - buttermilk           : 34.4 g
  - cream_heavy          : 2.2 g
  - egg_whole            : 100.0 g
  - flour_ap             : 259.3 g
  - jam_raspberry        : 19.4 g
  - nuts_pecan           : 8.5 g
  - pear_grated          : 30.6 g
  - raisins              : 6.1 g
  - salt_fine            : 5.5 g
  - sugar_brown          : 199.9 g
  - sugar_white          : 49.1 g
Rank     : 3
Name     : cookie_534254
ID       : child_86071234
Category : cookie
Fitness  : 0.832
Ingredients (g):
  - baking_soda          : 9.5 g
  - butter_unsalted      : 190.6 g
  - buttermilk           : 22.7 g
  - egg_whole            : 86.6 g
  - flour_ap             : 224.6 g
  - jam_raspberry        : 16.8 g
  - nuts_pecan           : 7.3 g
  - pear_grated          : 26.5 g
  - raisins              : 5.5 g
  - salt_fine            : 4.9 g
